"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"73",9,"Tom Tresh","NYY","AL",1965,23,0,0.08,3.8,156,602,94,168,26,74,5,59,0.279,0.348,0.477,0.825,0
"74",1,"Frank Robinson","BAL","AL",1966,280,20,1,7.7,155,576,122,182,49,122,8,87,0.316,0.41,0.637,1.047,1
"75",2,"Brooks Robinson","BAL","AL",1966,153,0,0.55,4.6,157,620,91,167,23,100,2,56,0.269,0.333,0.444,0.776,0
"76",3,"Boog Powell","BAL","AL",1966,122,0,0.44,4.1,140,491,78,141,34,109,0,67,0.287,0.372,0.532,0.903,0
"77",4,"Harmon Killebrew","MIN","AL",1966,96,0,0.34,5.9,162,569,89,160,39,110,0,103,0.281,0.391,0.538,0.929,0
"78",6,"Tony Oliva","MIN","AL",1966,71,0,0.25,6.4,159,622,99,191,25,87,13,42,0.307,0.353,0.502,0.854,0
"79",7,"Al Kaline","DET","AL",1966,66,0,0.24,5.6,142,479,85,138,29,88,5,81,0.288,0.392,0.534,0.927,0
"80",8,"Tommie Agee","CHW","AL",1966,63,0,0.23,6.4,160,629,98,172,22,86,44,41,0.273,0.326,0.447,0.773,0
"81",9,"Luis Aparicio","BAL","AL",1966,51,0,0.18,4.2,151,659,97,182,6,41,25,33,0.276,0.311,0.366,0.676,0
"82",1,"Carl Yastrzemski","BOS","AL",1967,275,19,0.98,12.5,161,579,112,189,44,121,10,91,0.326,0.418,0.622,1.04,1
"83",2,"Harmon Killebrew","MIN","AL",1967,161,0,0.58,6.5,163,547,105,147,44,113,1,131,0.269,0.408,0.558,0.965,0
"84",3,"Bill Freehan","DET","AL",1967,137,0,0.49,6.1,155,517,66,146,20,74,1,73,0.282,0.389,0.447,0.835,0
"85",5,"Al Kaline","DET","AL",1967,88,0,0.31,7.5,131,458,94,141,25,78,8,83,0.308,0.411,0.541,0.952,0
"86",7,"Jim Fregosi","CAL","AL",1967,70,0,0.25,5.4,151,590,75,171,9,56,9,49,0.29,0.349,0.395,0.744,0
"87",7,"César Tovar","MIN","AL",1967,70,1,0.25,2.4,164,649,98,173,6,47,19,46,0.267,0.325,0.365,0.691,0
"88",2,"Bill Freehan","DET","AL",1968,161,0,0.58,6.9,155,540,73,142,25,84,0,65,0.263,0.366,0.454,0.819,0
"89",3,"Ken Harrelson","BOS","AL",1968,103,0,0.37,5.1,150,535,79,147,35,109,2,69,0.275,0.356,0.518,0.874,0
"90",4,"Willie Horton","DET","AL",1968,102,0,0.36,5.4,143,512,68,146,36,85,0,49,0.285,0.352,0.543,0.895,0
"91",7,"Dick McAuliffe","DET","AL",1968,71,0,0.25,5.6,151,570,95,142,16,56,8,82,0.249,0.344,0.411,0.755,0
"92",8,"Frank Howard","WSA","AL",1968,63,0,0.23,4.6,158,598,79,164,44,106,0,54,0.274,0.338,0.552,0.89,0
"93",9,"Carl Yastrzemski","BOS","AL",1968,50,0,0.18,10.5,157,539,90,162,23,74,13,119,0.301,0.426,0.495,0.922,0
"94",1,"Harmon Killebrew","MIN","AL",1969,294,16,0.88,6.1,162,555,106,153,49,140,8,145,0.276,0.427,0.584,1.011,1
"95",2,"Boog Powell","BAL","AL",1969,227,6,0.68,5.8,152,533,83,162,37,121,1,72,0.304,0.383,0.559,0.942,0
"96",3,"Frank Robinson","BAL","AL",1969,162,2,0.48,7.5,148,539,111,166,32,100,9,88,0.308,0.415,0.54,0.955,0
"97",4,"Frank Howard","WSA","AL",1969,115,0,0.34,5.7,161,592,111,175,48,111,1,102,0.296,0.402,0.574,0.976,0
"98",5,"Reggie Jackson","OAK","AL",1969,110,0,0.33,9.2,152,549,123,151,47,118,13,114,0.275,0.41,0.608,1.018,0
"99",7,"Rico Petrocelli","BOS","AL",1969,71,0,0.21,10,154,535,92,159,40,97,3,98,0.297,0.403,0.589,0.992,0
"100",1,"Boog Powell","BAL","AL",1970,234,11,0.7,5.1,154,526,82,156,35,114,1,104,0.297,0.412,0.549,0.962,1
"101",2,"Tony Oliva","MIN","AL",1970,157,5,0.47,7,157,628,96,204,23,107,5,38,0.325,0.364,0.514,0.878,0
"102",3,"Harmon Killebrew","MIN","AL",1970,152,1,0.45,4.9,157,527,96,143,41,113,0,128,0.271,0.411,0.546,0.957,0
"103",4,"Carl Yastrzemski","BOS","AL",1970,136,2,0.4,9.5,161,566,125,186,40,102,23,128,0.329,0.452,0.592,1.044,0
"104",5,"Frank Howard","WSA","AL",1970,91,1,0.27,4.6,161,566,90,160,44,126,1,132,0.283,0.416,0.546,0.962,0
"105",6,"Tommy Harper","MIL","AL",1970,78,1,0.23,7.4,154,604,104,179,31,82,38,77,0.296,0.377,0.522,0.899,0
"106",7,"Brooks Robinson","BAL","AL",1970,75,2,0.22,3.9,158,608,84,168,18,94,1,53,0.276,0.335,0.429,0.764,0
"107",8,"Alex Johnson","CAL","AL",1970,70,0,0.21,3.7,156,614,85,202,14,86,17,35,0.329,0.37,0.459,0.83,0
"108",2,"Sal Bando","OAK","AL",1971,182,4,0.54,6.4,153,538,75,146,24,94,3,86,0.271,0.377,0.452,0.828,0
"109",3,"Frank Robinson","BAL","AL",1971,170,2,0.51,3.3,133,455,82,128,28,99,3,72,0.281,0.384,0.51,0.894,0
"110",4,"Brooks Robinson","BAL","AL",1971,163,3,0.49,6,156,589,67,160,20,92,0,63,0.272,0.341,0.413,0.754,0
"111",6,"Freddie Patek","KCR","AL",1971,77,0,0.23,4.1,147,591,86,158,6,36,49,44,0.267,0.323,0.371,0.693,0
"112",7,"Bobby Murcer","NYY","AL",1971,72,0,0.21,6.5,146,529,94,175,25,94,14,91,0.331,0.427,0.543,0.969,0
