Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
2,Mickey Mantle,NYY,AL,1961,198,6,71%,10.4,153,514,131,163,54,128,12,126,0.317,0.448,0.687,1.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Jim Gentile,BAL,AL,1961,157,5,56%,6.9,148,486,96,147,46,141,1,96,0.302,0.423,0.646,1.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Norm Cash,DET,AL,1961,151,1,54%,9.2,159,535,119,193,41,132,11,124,0.361,0.487,0.662,1.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Whitey Ford,NYY,AL,1961,102,0,36%,4.1,39,96,11,17,0,10,0,12,0.177,0.266,0.188,0.454,25,4,3.21,1.18,39,39,0,283,242,23,92,209
6,Luis Arroyo,NYY,AL,1961,95,1,34%,3.4,65,25,2,7,0,0,0,0,0.28,0.28,0.36,0.64,15,5,2.19,1.109,65,0,29,119,83,5,49,87
7,Frank Lary,DET,AL,1961,53,0,19%,4.8,42,108,13,25,1,5,0,3,0.231,0.259,0.278,0.537,23,9,3.24,1.155,36,36,0,275.1,252,24,66,146
8,Rocky Colavito,DET,AL,1961,51,0,18%,7.6,163,583,129,169,45,140,1,113,0.29,0.402,0.58,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Al Kaline,DET,AL,1961,35,0,13%,8.4,153,586,116,190,19,82,14,66,0.324,0.393,0.515,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Mickey Mantle,NYY,AL,1962,234,13,84%,6,123,377,96,121,30,89,9,122,0.321,0.486,0.605,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bobby Richardson,NYY,AL,1962,152,5,54%,3.2,161,692,99,209,8,59,11,37,0.302,0.337,0.406,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Harmon Killebrew,MIN,AL,1962,99,1,35%,2.8,155,552,85,134,48,126,1,106,0.243,0.366,0.545,0.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Leon Wagner,LAA,AL,1962,85,0,30%,2,160,612,96,164,37,107,7,50,0.268,0.326,0.5,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dick Donovan,CLE,AL,1962,64,0,23%,3.9,34,89,8,16,4,9,0,7,0.18,0.255,0.326,0.581,20,10,3.59,1.205,34,34,0,250.2,255,23,47,94
6,Al Kaline,DET,AL,1962,58,0,21%,4.4,100,398,78,121,29,94,4,47,0.304,0.376,0.593,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Norm Siebern,KCA,AL,1962,53,0,19%,5.5,162,600,114,185,25,117,3,110,0.308,0.412,0.495,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rich Rollins,MIN,AL,1962,47,0,17%,3.9,159,624,96,186,16,96,3,75,0.298,0.374,0.428,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Brooks Robinson,BAL,AL,1962,41,0,15%,6.1,162,634,77,192,23,86,3,42,0.303,0.342,0.486,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Elston Howard,NYY,AL,1963,248,15,89%,5.2,135,487,75,140,28,85,0,35,0.287,0.342,0.528,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
